city,state,lat,lon,timestamp,pm2_5,pm10,no2,o3,so2,co,aqi_category
Aligarh,Uttar Pradesh,27.8974,78.088,2025-11-23T14:00,99.2,102.7,5.4,209.0,41.8,544.0,Poor
Jalandhar,Punjab,31.326,75.5762,2025-11-23T14:00,68.9,71.7,3.3,200.0,29.4,777.0,Moderate
Tiruchirappalli,Tamil Nadu,10.7905,78.7047,2025-11-23T14:00,9.2,9.4,3.9,88.0,11.3,237.0,Good
Bhubaneswar,Odisha,20.2961,85.8245,2025-11-23T14:00,49.4,50.6,2.6,167.0,17.4,343.0,Satisfactory
Salem,Tamil Nadu,11.6643,78.146,2025-11-23T14:00,5.3,5.4,3.4,87.0,6.0,218.0,Good
Mira-Bhayandar,Maharashtra,19.2813,72.8561,2025-11-23T14:00,82.0,83.6,18.0,290.0,27.2,487.0,Moderate
Warangal,Telangana,17.9689,79.5941,2025-11-23T14:00,24.3,25.2,1.9,149.0,11.0,262.0,Good
Thiruvananthapuram,Kerala,8.5241,76.9366,2025-11-23T14:00,5.8,6.9,2.8,111.0,2.5,279.0,Good
Bhiwandi,Maharashtra,19.2813,73.0488,2025-11-23T14:00,34.0,34.8,6.6,211.0,12.7,430.0,Satisfactory
Saharanpur,Uttar Pradesh,29.964,77.5461,2025-11-23T14:00,66.8,70.3,6.9,181.0,30.9,567.0,Moderate
Gorakhpur,Uttar Pradesh,26.7606,83.3732,2025-11-23T14:00,71.7,79.2,2.1,165.0,21.4,446.0,Moderate
Guntur,Andhra Pradesh,16.3067,80.4365,2025-11-23T14:00,15.8,17.1,1.7,116.0,6.0,264.0,Good
Bikaner,Rajasthan,28.0229,73.3119,2025-11-23T14:00,27.5,29.9,1.6,162.0,16.2,370.0,Good
Amravati,Maharashtra,20.9374,77.7796,2025-11-23T14:00,28.8,29.2,3.5,167.0,12.3,358.0,Good
Noida,Uttar Pradesh,28.5355,77.391,2025-11-23T14:00,99.7,102.7,11.8,217.0,49.2,677.0,Poor
Jamshedpur,Jharkhand,22.8046,86.2029,2025-11-23T14:00,82.7,86.6,11.0,195.0,61.0,521.0,Moderate
Bhilai,Chhattisgarh,21.1938,81.3509,2025-11-23T14:00,46.9,48.0,33.1,140.0,18.1,378.0,Satisfactory
Cuttack,Odisha,20.4625,85.8828,2025-11-23T14:00,49.4,50.6,2.6,167.0,17.4,336.0,Satisfactory
Firozabad,Uttar Pradesh,27.1592,78.3957,2025-11-23T14:00,87.5,93.4,2.8,194.0,27.5,517.0,Moderate
